Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,15– 20 May,SWG,"1,200",27.0,21.0,15.7,8.3,8.4,4.4,4.2,4.6,2.4,,2.2,1.0,0.8,6.0
2024,16 May,Ipsos,,26.4,22.3,16.3,8.6,9.5,4.1,3.3,4.6,1.6,,1.6,,1.7,4.1
2024,18 May,Tecnè,,27.2,20.6,15.7,8.0,9.9,4.6,4.0,4.2,1.7,,2.1,,2.0,6.6
2024,15– 16 May,Termometro Politico,"4,300",27.2,19.6,15.9,8.8,8.4,4.9,3.9,3.8,2.5,,1.8,0.7,2.5,7.6
2024,15 May,Euromedia,800,27.0,20.3,16.7,9.2,8.5,4.5,4.0,4.2,2.7,,2.0,,0.9,6.7
2024,14 May,BiDiMedia,"1,000",27.4,21.0,15.5,8.6,8.2,4.7,4.0,4.3,1.9,,2.2,,2.2,6.4
2024,8– 13 May,SWG,"1,200",26.8,20.5,16.2,8.6,8.3,4.6,4.4,4.4,2.2,,2.4,,1.6,6.3
2024,12 May,Quorum,,26.8,20.7,16.1,8.3,8.0,4.7,4.0,4.4,1.8,,1.0,,4.2,6.1
2024,11 May,Tecnè,,27.4,20.5,15.7,7.9,10.1,4.5,3.9,4.1,,,2.2,,3.7,6.9
2024,8– 9 May,Termometro Politico,"3,900",27.0,19.6,16.2,8.8,8.6,4.9,3.8,3.9,,,1.9,,5.3,7.4
2024,7– 8 May,Eumetra,800,27.6,20.5,16.5,8.6,8.7,4.7,4.0,4.2,1.9,,2.1,,1.2,7.1
2024,6– 7 May,Demopolis,"2,000",27.2,20.7,15.0,8.5,8.6,4.6,3.7,4.3,2.2,,2.8,,2.0,6.5
2024,30 Apr – 6 May,SWG,"1,200",26.6,20.6,16.1,8.8,8.5,4.9,4.5,4.6,1.8,,2.3,,1.3,6.0
2024,4– 5 May,BiDiMedia,"1,000",27.7,20.8,15.7,8.8,8.1,4.9,4.0,4.3,1.6,0.9,2.0,,1.2,6.9
2024,2– 3 May,Quorum,800,27.3,20.5,16.0,8.3,8.3,4.5,3.8,4.4,1.9,,1.5,,3.5,6.8
2024,1– 3 May,Tecnè,"4,600",27.3,20.3,15.9,7.8,10.2,4.6,3.8,4.0,1.5,,2.1,,,7.0
2024,1– 2 May,Euromedia,"4,600",27.5,20.5,17.0,8.4,8.8,4.5,3.7,3.8,2.0,,1.8,,2.0,7.0
2024,1– 2 May,Termometro Politico,"4,600",27.3,19.8,15.9,8.6,8.4,4.9,4.0,3.6,2.5,1.7,1.7,,1.6,7.5
2024,30 Apr,Eumetra,,27.6,20.3,16.0,8.4,8.6,4.5,4.0,4.2,1.9,1.2,2.3,,1.0,7.3
2024,24– 29 Apr,SWG,"1,200",26.6,20.3,15.6,8.6,8.4,4.5,4.2,4.5,2.0,1.2,2.1,,2.0 [ az ],6.3
2024,24– 26 Apr,Tecnè,"1,002",27.5,20.0,16.0,7.7,10.2,4.8,3.8,3.9,1.6,,2.2,,2.3,7.5
2024,23– 25 Apr,Termometro Politico,"3,800",27.6,19.6,16.0,8.4,8.5,5.1,3.9,3.5,2.4,1.9,1.6,,1.5,8.0
2024,24 Apr,Euromedia,800,27.2,20.3,16.8,8.5,8.7,4.4,3.8,4.0,2.0,,2.5,,1.8,6.9
2024,24 Apr,Eumetra,,27.9,20.1,16.2,8.3,8.4,4.4,3.9,4.0,1.7,1.2,2.2,,1.7,7.8
2024,17– 22 Apr,SWG,"1,200",26.8,20.0,15.9,8.5,8.4,4.7,4.1,4.3,2.1,1.4,2.2,,1.6,6.8
2024,22 Apr,Quorum,,27.8,20.5,16.5,7.2,7.6,5.0,3.3,4.4,1.9,,1.6,,,7.3
2024,18– 21 Apr,EMG,,26.8,20.8,16.2,8.4,8.7,5.4,3.7,3.7,,,,,6.3,6.0
2024,17– 18 Apr,Demos,"1,005",28.0,20.2,16.4,8.5,8.0,4.1,4.0,4.2,,,,,6.6,7.8
2024,16– 18 Apr,Termometro Politico,"4,100",27.5,19.7,16.1,8.5,8.3,5.2,3.8,3.2,2.5,1.9,1.6,,1.7,7.8
2024,16– 17 Apr,Eumetra,,27.4,19.7,16.4,8.5,8.3,5.1,3.8,3.8,1.9,1.3,1.9,,2.0,7.7
2024,10– 15 Apr,SWG,"1,200",27.2,19.4,16.0,8.6,8.4,5.2,4.2,4.1,1.8,1.4,1.9,,1.8,7.8
2024,13 Apr,Tecnè,,27.3,19.8,16.2,7.9,10.1,5.5,3.6,3.7,1.6,,2.0,,2.3,7.5
2024,8– 12 Apr,Ixè,"1,000",26.6,19.9,16.4,8.0,8.4,4.0,3.7,4.2,1.1,,1.3,,6.4 [ ba ],6.7
2024,9– 11 Apr,Termometro Politico,"3,700",27.8,19.5,15.6,8.8,8.0,5.1,3.9,3.3,2.4,1.8,1.8,,2.4,8.3
2024,8– 9 Apr,Demopolis,"2,000",27.0,20.0,15.8,8.0,8.7,4.6,3.5,3.8,2.2,,2.1,,2.0,7.0
2024,3– 8 Apr,SWG,"1,200",26.9,19.8,15.6,8.8,7.8,5.3,4.0,3.9,1.6,1.4,1.5,,3.4 [ ba ],7.1
2024,8 Apr,Euromedia,800,26.9,19.7,17.6,8.7,8.5,4.4,3.8,3.7,1.8,,3.7,,1.2,7.2
2024,4– 5 Apr,Quorum,801,27.7,19.8,16.0,7.5,7.8,4.6,3.1,3.9,2.2,,1.6,,4.7,7.9
2024,2– 4 Apr,EMG,"1,000",27.2,20.2,16.7,7.8,9.0,6.2,3.2,3.3,1.2,,,,5.2 [ ba ],7.0
2024,3– 4 Apr,Termometro Politico,"4,400",27.6,19.5,15.9,8.6,7.1,3.8,2.9,3.5,2.6,,2.1,1.6,1.0,3.8
2024,2– 4 Apr,Piepoli,500,28.0,19.5,17.0,8.5,8.0,4.0,3.5,4.0,3.5,,,,1.5,3.5
2024,2– 3 Apr,Eumetra,800,27.2,20.0,16.3,8.3,8.1,3.9,3.4,3.9,2.9,1.3,3.0,,0.9,0.8
2024,27 Mar – 2 Apr,SWG,"1,200",26.7,20.1,15.8,8.5,7.6,4.1,3.4,4.1,2.9,,1.4,1.3,1.0,3.1
2024,28– 29 Mar,Tecnè,803,27.5,20.5,15.6,7.8,9.4,3.6,3.2,4.0,3.0,,,,,5.4
2024,26– 28 Mar,BiDiMedia,"2,000",27.1,20.2,16.6,8.3,7.1,4.4,w. +E/SUE,4.4,5.1,,1.5,1.3,0.8,3.0
2024,27– 28 Mar,Termometro Politico,"4,000",27.5,19.5,16.0,9.0,7.2,3.8,2.8,3.2,2.4,,1.8,1.7,1.2,3.9
2024,20– 25 Mar,SWG,"1,200",27.0,19.9,15.6,8.3,7.7,4.0,3.4,4.1,2.8,,1.6,1.6,1.1,2.9
2024,19– 25 Mar,Ipsos,"1,000",27.5,20.5,16.1,8.0,8.7,2.5,3.3,3.3,2.8,1.5,1.5,1.2,0.7,2.4
2024,23 Mar,Tecnè,,27.4,20.5,15.6,7.8,9.4,3.8,3.3,4.2,2.8,,,,,5.2
2024,21 Mar,Demopolis,,28.2,20.3,15.6,8.0,7.8,3.2,,3.6,,,,,,3.0
2024,20– 21 Mar,Termometro Politico,"4,200",27.8,19.3,15.8,9.0,7.3,3.8,3.0,3.4,2.6,,1.3,1.7,1.1,3.9
2024,19– 20 Mar,Eumetra,800,27.2,19.7,16.1,8.1,8.0,3.7,3.3,4.1,,,,,,
2024,13– 18 Mar,SWG,"1,200",26.8,19.8,15.3,8.0,7.8,4.3,3.2,4.2,2.9,1.7,1.1,1.4,1.1,2.4
2024,14– 15 Mar,Tecnè,,27.6,20.3,15.8,7.9,9.3,3.9,3.2,4.1,2.7,,,,,5.2
2024,13– 14 Mar,Termometro Politico,"3,900",28.2,19.5,15.9,9.0,7.1,3.9,2.8,3.3,2.5,,1.3,1.7,1.0,3.8
2024,12– 13 Mar,Eumetra,800,27.5,19.9,16.2,8.2,7.9,3.9,3.2,4.0,2.5,1.5,1.5,,1.0,2.7
2024,6– 11 Mar,SWG,"1,200",27.1,20.2,15.4,8.1,7.6,4.5,3.1,4.1,2.7,1.5,1.4,1.3,1.0,2.0
2024,7– 8 Mar,Tecnè,"1,001",27.8,20.2,16.1,7.9,9.2,4.1,3.1,4.0,2.6,,,,,5.0
2024,6– 7 Mar,Termometro Politico,"3,900",28.5,19.5,16.1,9.1,6.8,3.9,2.8,3.3,2.4,,1.2,1.8,1.1,3.5
2024,5– 6 Mar,Eumetra,800,27.7,19.6,16.4,8.1,7.9,3.7,3.2,3.8,2.5,1.7,1.4,,1.0,3.0
2024,23 Feb – 5 Mar,Ipsos,"1,503",27.0,19.0,17.4,8.2,8.2,3.0,3.4,4.1,2.6,,,,,7.1
2024,28 Feb – 4 Mar,SWG,"1,200",27.3,20.0,15.8,8.0,7.6,4.3,3.1,4.2,2.8,1.7,1.3,1.1,1.0,1.8
2024,29 Feb – 1 Mar,Tecnè,"1,001",28.1,20.0,16.0,8.1,9.3,4.0,3.2,3.9,2.5,,,,,4.9
2024,28 Feb – 1 Mar,Quorum,803,27.1,19.9,15.9,8.1,6.6,3.7,3.5,4.6,3.4,1.6,,,0.7,4.9
